year,date,saros,type,ge_sun_alt,ge_lat,ge_lon,sunset_min_alt,sunset_max_dur_s,sunset_entry_lat,sunset_entry_lon,sunset_end_lat,sunset_end_lon,sunrise_min_alt,sunrise_max_dur_s,sunrise_entry_lat,sunrise_entry_lon,sunrise_end_lat,sunrise_end_lon
-1860,-1860-01-09,21,T,32.7,33.02,19.01,3.4,40.3,53.47,57.54,53.47,57.54,2.3,44.2,40.57,-15.42,43.25,-21.08
-1858,-1858-05-15,8,T,74.5,28.79,-17.95,2.1,203.4,31.34,46.92,29.11,56.71,4.8,205.4,4.74,-67.00,2.39,-74.58
-1857,-1857-05-04,18,T,59.2,-19.30,132.91,2.5,68.3,-12.52,176.11,-13.94,-174.20,1.9,56.5,-43.43,80.15,-45.51,70.90
-1855,-1855-09-06,5,T,46.8,-29.18,85.10,2.0,66.9,-53.93,140.09,-55.24,144.99,2.7,74.2,-25.36,43.97,-26.99,35.51
-1853,-1853-02-20,20,T,41.6,-63.04,20.98,1.8,63.6,-38.74,74.40,-35.41,83.53,3.6,60.2,-59.18,-88.20,-58.11,-91.67
-1850,-1850-06-14,17,T,77.3,33.73,133.82,3.8,174.9,30.61,-156.41,28.10,-149.86,2.6,181.8,1.60,85.72,-2.46,77.11
-1849,-1849-06-04,27,T,17.9,71.40,148.15,,,,,,,-0.1,181.9,53.09,143.11,48.32,134.39
-1847,-1847-10-07,14,T,88.8,1.66,-170.81,4.0,119.3,-27.70,-120.47,-28.42,-111.93,3.4,120.2,30.40,137.13,30.93,127.88
-1846,-1846-09-27,24,T,48.4,-31.00,-68.89,3.9,75.4,-68.94,-0.63,-68.94,-0.63,4.2,89.4,-12.30,-103.34,-12.15,-112.01
-1844,-1844-02-10,1,T,52.7,-52.95,33.04,4.1,97.2,-20.55,76.72,-17.41,83.63,3.0,90.6,-55.91,-75.08,-54.48,-79.11
-1843,-1843-01-30,11,T,84.0,-15.67,129.61,5.6,157.1,16.47,176.81,18.88,-178.15,1.6,161.0,-14.07,74.71,-10.30,64.63
-1842,-1842-01-20,21,T,34.6,31.27,-110.88,3.1,40.6,56.16,-71.51,56.16,-71.51,3.0,47.2,35.14,-144.50,37.74,-150.67
-1840,-1840-05-25,8,T,69.9,36.75,-130.71,4.0,190.9,33.14,-61.11,31.17,-54.52,0.4,192.5,12.14,177.02,8.35,166.27
-1839,-1839-05-14,18,T,64.3,-11.01,22.73,4.6,55.4,-8.64,67.51,-10.26,74.79,2.3,44.4,-35.38,-26.94,-37.73,-34.89
-1837,-1837-09-18,5,T,44.9,-34.44,-44.37,3.3,46.4,-58.82,15.23,-59.68,19.59,3.6,53.1,-26.50,-84.19,-27.38,-92.92
-1835,-1835-03-02,20,T,45.6,-55.31,-99.42,4.6,87.3,-32.40,-50.83,-30.21,-43.78,2.3,80.3,-58.55,159.91,-57.43,154.97
-1833,-1833-07-06,7,T,51.2,-14.68,-116.35,2.2,17.9,-24.25,-75.74,-27.61,-68.40,3.0,19.7,-37.43,-159.11,-39.85,-163.78
-1832,-1832-06-24,17,T,81.5,31.49,22.89,4.4,180.9,23.43,86.23,20.46,93.27,4.7,182.7,1.77,-27.56,-1.35,-33.83
-1831,-1831-06-14,27,T,28.2,74.32,64.38,2.0,164.7,67.12,-98.48,67.12,-98.48,3.6,176.3,46.73,37.39,43.79,32.25
-1829,-1829-10-18,14,T,88.5,-2.58,55.45,4.6,115.8,-28.05,107.81,-28.08,115.96,5.5,114.7,29.42,5.14,30.34,-1.01
-1828,-1828-10-07,24,T,49.1,-34.42,158.72,0.9,54.7,-70.48,-111.99,-70.48,-111.99,2.9,70.8,-12.21,124.12,-11.33,114.42
-1826,-1826-02-21,1,T,49.8,-51.32,-84.19,3.8,117.2,-20.20,-45.32,-16.99,-37.40,2.8,103.4,-60.99,157.22,-60.99,157.22
-1825,-1825-02-10,11,T,85.9,-15.18,5.28,3.3,166.8,18.82,51.51,22.17,59.38,0.7,169.4,-19.22,-50.99,-15.62,-62.33
-1824,-1824-01-31,21,T,36.8,29.76,121.49,2.0,39.8,59.58,163.57,59.58,163.57,1.8,49.3,30.02,87.83,33.02,79.67
-1822,-1822-06-05,8,T,65.3,44.31,117.28,4.6,179.0,34.46,-170.40,32.27,-164.44,5.1,179.4,20.06,60.67,17.48,54.51
-1821,-1821-05-26,18,T,69.2,-3.27,-86.69,5.2,40.6,-5.68,-40.90,-7.73,-33.98,1.2,31.1,-26.82,-133.75,-30.23,-143.37
-1819,-1819-09-28,5,T,43.6,-39.54,-175.60,2.5,25.8,-62.91,-107.19,-63.54,-101.35,4.0,31.9,-27.98,144.53,-28.08,136.19
-1817,-1817-03-13,20,T,49.9,-47.18,141.13,4.1,111.3,-25.98,-173.34,-23.98,-164.90,3.7,102.6,-57.04,52.56,-56.47,48.42
-1815,-1815-07-16,7,T,46.6,-19.65,129.82,3.1,20.2,-32.59,170.14,-35.26,175.74,4.7,24.3,-37.14,88.89,-38.92,85.36
-1814,-1814-07-06,17,T,85.3,28.55,-89.99,5.5,182.3,15.90,-31.47,13.12,-25.30,5.1,183.6,2.63,-141.75,-0.42,-147.84
