lat,lon,sun_alt,totality_secs,magnitude,ut_max_utc,sunset_utc,min_to_sunset,sunset_eclipse
41.00,-3.75,7.5,74.3,1.0329,18:31:23,19:17:22,46.0,True
41.00,-3.50,7.3,81.1,1.0328,18:31:19,19:16:22,45.0,True
41.00,-3.25,7.2,86.6,1.0328,18:31:16,19:15:22,44.1,True
41.00,-3.00,7.0,91.0,1.0327,18:31:13,19:14:22,43.2,True
41.00,-2.75,6.8,94.5,1.0327,18:31:09,19:13:22,42.2,True
41.00,-2.50,6.6,97.3,1.0326,18:31:06,19:12:22,41.3,True
41.00,-2.25,6.5,99.3,1.0326,18:31:02,19:11:22,40.3,True
41.00,-2.00,6.3,100.8,1.0325,18:30:58,19:10:23,39.4,True
41.00,-1.75,6.1,101.6,1.0325,18:30:55,19:09:23,38.5,True
41.00,-1.50,5.9,101.9,1.0324,18:30:51,19:08:23,37.5,True
41.00,-1.25,5.8,101.7,1.0324,18:30:47,19:07:23,36.6,True
41.00,-1.00,5.6,100.9,1.0323,18:30:43,19:06:23,35.7,True
41.00,-0.75,5.4,99.7,1.0322,18:30:39,19:05:23,34.7,True
41.00,-0.50,5.3,98.0,1.0322,18:30:35,19:04:23,33.8,True
41.00,-0.25,5.1,95.8,1.0321,18:30:31,19:03:23,32.9,True
41.00,0.00,4.9,93.0,1.0321,18:30:27,19:02:23,31.9,True
41.00,0.25,4.8,89.7,1.0320,18:30:23,19:01:23,31.0,True
41.00,0.50,4.6,85.8,1.0320,18:30:18,19:00:23,30.1,True
41.00,0.75,4.4,81.2,1.0319,18:30:14,18:59:23,29.2,True
41.00,1.00,4.2,75.9,1.0319,18:30:10,18:58:23,28.2,True
41.00,1.25,4.1,69.7,1.0318,18:30:05,18:57:23,27.3,True
41.00,1.50,3.9,62.3,1.0318,18:30:01,18:56:23,26.4,True
41.00,1.75,3.7,53.3,1.0317,18:29:56,18:55:23,25.5,True
41.00,2.00,3.6,41.7,1.0317,18:29:51,18:54:23,24.5,True
41.00,2.25,3.4,24.1,1.0316,18:29:47,18:53:24,23.6,True
40.75,-4.00,7.5,33.9,1.0329,18:31:50,19:17:53,46.0,True
40.75,-3.75,7.4,51.3,1.0328,18:31:47,19:16:53,45.1,True
40.75,-3.50,7.2,63.0,1.0328,18:31:43,19:15:53,44.2,True
40.75,-3.25,7.0,71.9,1.0327,18:31:40,19:14:53,43.2,True
40.75,-3.00,6.8,78.9,1.0327,18:31:36,19:13:53,42.3,True
40.75,-2.75,6.7,84.6,1.0326,18:31:33,19:12:53,41.3,True
40.75,-2.50,6.5,89.1,1.0326,18:31:29,19:11:53,40.4,True
40.75,-2.25,6.3,92.8,1.0325,18:31:26,19:10:53,39.5,True
40.75,-2.00,6.2,95.7,1.0325,18:31:22,19:09:53,38.5,True
40.75,-1.75,6.0,97.9,1.0324,18:31:18,19:08:53,37.6,True
40.75,-1.50,5.8,99.5,1.0324,18:31:14,19:07:53,36.6,True
40.75,-1.25,5.6,100.5,1.0323,18:31:10,19:06:53,35.7,True
40.75,-1.00,5.5,101.0,1.0323,18:31:06,19:05:53,34.8,True
40.75,-0.75,5.3,101.0,1.0322,18:31:02,19:04:53,33.8,True
40.75,-0.50,5.1,100.4,1.0321,18:30:58,19:03:53,32.9,True
40.75,-0.25,5.0,99.5,1.0321,18:30:54,19:02:54,32.0,True
40.75,0.00,4.8,98.0,1.0320,18:30:50,19:01:54,31.1,True
40.75,0.25,4.6,96.1,1.0320,18:30:46,19:00:54,30.1,True
40.75,0.50,4.4,93.7,1.0319,18:30:41,18:59:54,29.2,True
40.75,0.75,4.3,90.7,1.0319,18:30:37,18:58:54,28.3,True
40.75,1.00,4.1,87.3,1.0318,18:30:33,18:57:54,27.4,True
40.75,1.25,3.9,83.2,1.0318,18:30:28,18:56:54,26.4,True
40.75,1.50,3.8,78.5,1.0317,18:30:24,18:55:54,25.5,True
40.75,1.75,3.6,73.1,1.0317,18:30:19,18:54:54,24.6,True
40.75,2.00,3.4,66.7,1.0316,18:30:14,18:53:54,23.7,True
40.75,2.25,3.3,59.1,1.0316,18:30:10,18:52:54,22.7,True
40.75,2.50,3.1,49.7,1.0315,18:30:05,18:51:54,21.8,True
40.75,2.75,2.9,37.5,1.0315,18:30:00,18:50:54,20.9,True
40.75,3.00,2.8,16.8,1.0314,18:29:55,18:49:54,20.0,True
40.50,-3.50,7.1,27.1,1.0327,18:32:07,19:15:24,43.3,True
40.50,-3.25,6.9,47.0,1.0327,18:32:04,19:14:24,42.3,True
40.50,-3.00,6.7,59.5,1.0326,18:32:00,19:13:24,41.4,True
40.50,-2.75,6.5,68.9,1.0326,18:31:57,19:12:24,40.5,True
40.50,-2.50,6.4,76.2,1.0325,18:31:53,19:11:24,39.5,True
40.50,-2.25,6.2,82.1,1.0325,18:31:49,19:10:24,38.6,True
40.50,-2.00,6.0,86.8,1.0324,18:31:46,19:09:24,37.6,True
40.50,-1.75,5.8,90.7,1.0324,18:31:42,19:08:24,36.7,True
40.50,-1.50,5.7,93.8,1.0323,18:31:38,19:07:24,35.8,True
40.50,-1.25,5.5,96.2,1.0323,18:31:34,19:06:24,34.8,True
40.50,-1.00,5.3,98.0,1.0322,18:31:30,19:05:24,33.9,True
40.50,-0.75,5.2,99.2,1.0322,18:31:26,19:04:24,33.0,True
40.50,-0.50,5.0,99.9,1.0321,18:31:22,19:03:24,32.0,True
40.50,-0.25,4.8,100.1,1.0321,18:31:18,19:02:24,31.1,True
40.50,0.00,4.6,99.9,1.0320,18:31:13,19:01:24,30.2,True
40.50,0.25,4.5,99.1,1.0319,18:31:09,19:00:24,29.3,True
40.50,0.50,4.3,98.0,1.0319,18:31:05,18:59:25,28.3,True
40.50,0.75,4.1,96.4,1.0318,18:31:00,18:58:25,27.4,True
40.50,1.00,4.0,94.3,1.0318,18:30:56,18:57:25,26.5,True
40.50,1.25,3.8,91.8,1.0317,18:30:51,18:56:25,25.6,True
40.50,1.50,3.6,88.8,1.0317,18:30:47,18:55:25,24.6,True
40.50,1.75,3.5,85.2,1.0316,18:30:42,18:54:25,23.7,True
40.50,2.00,3.3,81.1,1.0316,18:30:37,18:53:25,22.8,True
40.50,2.25,3.1,76.4,1.0315,18:30:32,18:52:25,21.9,True
40.50,2.50,3.0,70.9,1.0315,18:30:28,18:51:25,21.0,True
40.50,2.75,2.8,64.5,1.0314,18:30:23,18:50:25,20.0,True
40.50,3.00,2.6,56.9,1.0314,18:30:18,18:49:25,19.1,True
40.50,3.25,2.5,47.5,1.0313,18:30:13,18:48:25,18.2,True
40.50,3.50,2.3,35.1,1.0313,18:30:08,18:47:25,17.3,True
40.50,3.75,2.1,12.4,1.0312,18:30:03,18:46:25,16.4,True
40.25,-3.00,6.6,14.9,1.0326,18:32:24,19:12:55,40.5,True
40.25,-2.75,6.4,41.1,1.0325,18:32:20,19:11:55,39.6,True
40.25,-2.50,6.2,55.0,1.0325,18:32:17,19:10:55,38.6,True
40.25,-2.25,6.1,65.0,1.0324,18:32:13,19:09:55,37.7,True
40.25,-2.00,5.9,72.8,1.0324,18:32:09,19:08:55,36.8,True
