date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1968-09-25,Partial,,,71.5S,69.3E,-71.48611000,69.27252000,-7,-1.29164000,.46283000,.00000000
-1967-03-21,Total,00:04:38,278,27.8N,163.6W,27.78197000,-163.59479000,-2,.58763000,1.05370000,217.90000000
-1967-09-14,Annular,00:09:27,567,27.4S,104.6E,-27.40532000,104.64838000,3,-.62634000,.92316000,368.10000000
-1966-03-11,Total,00:06:14,374,18.7S,38.7W,-18.68789000,-38.70935000,8,-.14563000,1.07194000,236.20000000
-1966-09-03,Annular,00:07:41,461,18.5N,123.3E,18.52781000,123.28992000,13,.07937000,.93896000,227.20000000
-1965-02-28,Total,00:01:44,104,71.9S,125.0E,-71.88212000,125.02374000,18,-.88899000,1.02790000,208.30000000
-1965-08-23,Annular,00:01:14,74,67.9N,73.2E,67.92062000,73.20667000,23,.79189000,.98313000,98.30000000
-1964-01-19,Partial,,,66.7N,145.4E,66.72490000,145.41095000,-10,1.17131000,.66860000,.00000000
-1964-07-14,Partial,,,65.8S,0.1E,-65.79013000,.09558000,-5,-1.12376000,.78212000,.00000000
-1964-08-12,Partial,,,68.5N,25.2E,68.48775000,25.22754000,33,1.45400000,.15395000,.00000000
-1963-01-07,Annular,00:11:26,686,5.4N,144.8E,5.37064000,144.79175000,0,.49006000,.92152000,340.10000000
-1963-07-03,Total,00:06:12,372,0.1S,98.3E,-.07510000,98.32806000,5,-.40767000,1.06462000,231.30000000
-1963-12-27,Annular,00:05:54,354,35.9S,129.6E,-35.87795000,129.62054000,10,-.21342000,.94644000,202.00000000
-1962-06-23,Total,00:01:41,101,43.0N,124.2W,43.04002000,-124.17981000,15,.35331000,1.01931000,70.60000000
-1962-12-16,Annular,00:00:39,39,76.3S,47.3W,-76.27336000,-47.30005000,20,-.89493000,.98932000,85.20000000
-1961-06-12,Partial,,,63.1N,10.3W,63.07436000,-10.25366000,25,1.16756000,.67968000,.00000000
-1961-11-07,Partial,,,61.1N,50.2E,61.10762000,50.18640000,-8,1.16899000,.69101000,.00000000
-1961-12-06,Partial,,,62.9S,44.7E,-62.85860000,44.70276000,30,-1.51442000,.04283000,.00000000
-1960-05-02,Annular,00:04:49,289,45.2S,4.7E,-45.19353000,4.72095000,-3,-.89188000,.94793000,410.00000000
