efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
215,Jan 15,5,3m20.46s,200.46,16m42.30s,1002.30,307,306,92
216,Dec 3,4,3m19.65s,199.65,13m18.60s,798.60,331,329,115
217,Jan 7,2,3m19.65s,199.65,6m39.30s,399.30,362,364,145
218,Sep 10,12,3m19.58s,199.58,39m54.90s,2394.90,26,88,-192
219,Feb 27,6,3m19.48s,199.48,19m56.90s,1196.90,263,282,44
220,Sep 29,8,3m19.15s,199.15,26m33.20s,1593.20,174,212,-46
221,Oct 5,9,3m18.73s,198.73,29m48.60s,1788.60,128,176,-93
222,Mar 9,11,3m18.57s,198.57,36m24.30s,2184.30,50,113,-172
223,Apr 22,7,3m18.33s,198.33,23m08.30s,1388.30,225,255,2
224,Dec 4,9,3m18.04s,198.04,29m42.40s,1782.40,128,180,-96
225,Sep 27,7,3m18.00s,198.00,23m06.00s,1386.00,225,257,0
226,Jan 27,11,3m17.97s,197.97,36m17.70s,2177.70,50,114,-176
227,Jan 31,6,3m17.88s,197.88,19m47.30s,1187.30,263,283,36
228,Feb 24,7,3m17.77s,197.77,23m04.40s,1384.40,225,258,-3
229,Mar 20,9,3m17.29s,197.29,29m35.60s,1775.60,128,182,-101
230,Oct 19,6,3m17.22s,197.22,19m43.30s,1183.30,263,284,33
231,Oct 1,11,3m16.92s,196.92,36m06.10s,2166.10,50,116,-181
232,Dec 23,6,3m16.88s,196.88,19m41.30s,1181.30,263,285,31
233,Oct 11,10,3m16.86s,196.86,32m48.60s,1968.60,86,144,-147
234,May 2,3,3m16.80s,196.80,9m50.40s,590.40,352,352,118
235,Feb 23,5,3m16.40s,196.40,16m22.00s,982.00,307,310,72
236,May 31,10,3m15.88s,195.88,32m38.80s,1958.80,86,148,-150
237,Feb 19,11,3m15.82s,195.82,35m54.00s,2154.00,50,117,-187
238,Jan 20,7,3m15.36s,195.36,22m47.50s,1367.50,225,259,-13
239,Jan 13,6,3m15.18s,195.18,19m31.10s,1171.10,263,287,24
240,Oct 20,6,3m15.10s,195.10,19m30.60s,1170.60,263,288,23
241,Mar 25,10,3m14.90s,194.90,32m29.00s,1949.00,86,149,-155
242,Oct 21,4,3m14.47s,194.47,12m57.90s,777.90,331,332,89
243,Jan 6,12,3m14.40s,194.40,38m52.80s,2332.80,26,95,-217
244,Dec 9,10,3m14.38s,194.38,32m23.80s,1943.80,86,150,-158
245,Nov 13,12,3m14.12s,194.12,38m49.40s,2329.40,26,97,-219
246,Feb 9,7,3m14.09s,194.09,22m38.60s,1358.60,225,261,-21
247,Dec 30,7,3m12.57s,192.57,22m28.00s,1348.00,225,263,-22
248,Jan 5,4,3m12.55s,192.55,12m50.20s,770.20,331,334,83
249,Feb 6,6,3m12.52s,192.52,19m15.10s,1155.10,263,290,14
250,Dec 26,11,3m12.34s,192.34,35m15.70s,2115.70,50,123,-200
251,Oct 8,8,3m11.74s,191.74,25m33.90s,1533.90,174,224,-77
252,Nov 6,6,3m11.67s,191.67,19m10.00s,1150.00,263,292,11
253,Sep 14,8,3m11.47s,191.47,25m31.80s,1531.80,174,225,-79
254,Nov 23,8,3m11.05s,191.05,25m28.40s,1528.40,174,226,-80
255,Mar 2,10,3m10.97s,190.97,31m49.70s,1909.70,86,157,-169
256,Oct 12,9,3m10.66s,190.66,28m35.90s,1715.90,128,188,-128
