year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,land_min_sun_alt,corridor_max_totality_s,continents,countries,closest_town,closest_cc,closest_dist_km,land_lat,land_lon,lat_range,lon_range
2595,2595-07-28,155,T,87.0,3.8,3.8,81.8,Oceania,PG,Popondetta,PG,22,-9.79,151.10,-9.8..-6.6,143.0..151.1
2737,2737-12-13,173,T,39.5,3.8,3.8,96.6,North America,US,Depoe Bay,US,114,44.87,-125.50,42.9..44.9,-129.5..-125.5
2346,2346-06-20,152,T,65.0,3.8,8.5,149.0,Africa,MZ,Maxixe,MZ,85,-23.84,34.52,-25.9..-23.2,33.1..38.9
2563,2563-04-24,157,T,69.5,3.8,3.8,25.0,North America,US,Bison,US,21,45.63,-102.69,45.6..46.8,-108.9..-102.7
2316,2316-01-25,136,T,49.1,3.8,3.8,68.9,North America,US,Lakeview,US,39,43.88,-115.28,42.0..43.9,-120.0..-115.3
2848,2848-06-22,160,T,77.9,3.8,11.7,146.0,Asia,VN,Duyen Hai,VN,34,9.63,106.80,6.4..9.6,106.8..113.6
2679,2679-02-03,161,T,74.4,3.9,6.7,65.7,Asia,CN,Yaokou,CN,12,33.79,120.40,32.3..34.9,116.7..123.5
2974,2974-09-07,160,T,45.1,3.9,6.2,185.4,Asia,OM YE,Bi'r Hat,YE,64,17.29,54.70,16.9..18.8,48.2..56.9
2187,2187-07-06,149,T,59.0,4.0,9.8,137.3,Asia,JP,Nakamura,JP,119,32.16,133.74,29.6..32.2,133.7..139.4
2298,2298-01-13,136,T,49.5,4.0,4.0,74.6,Europe,IT,Belcastro,IT,2,39.02,16.81,37.1..39.0,12.5..16.8
2129,2129-02-18,142,T,75.2,4.0,4.0,96.7,South America,BR,Santa Isabel do Rio Negro,BR,75,-0.53,-65.68,-2.6..-0.5,-73.8..-65.7
2735,2735-07-12,148,T,35.6,4.0,4.0,179.3,Asia,CN,Luntai,CN,37,38.97,90.18,39.0..41.9,84.6..90.2
2921,2921-07-26,170,T,75.9,4.0,6.9,219.6,Oceania,AU,Northampton,AU,52,-28.71,116.61,-29.9..-27.2,113.2..119.5
2929,2929-08-25,179,T,41.9,4.1,8.9,142.5,North America,US,Rose Hill,US,4,34.23,-75.78,33.0..34.8,-78.0..-70.6
2661,2661-01-22,161,T,74.1,4.1,4.1,70.0,North America,MX,Hermosillo,MX,13,31.02,-106.21,28.3..31.0,-112.4..-106.2
2910,2910-03-02,164,T,89.2,4.1,4.1,37.5,North America,DM,Salisbury,DM,60,15.22,-61.97,13.7..15.2,-70.5..-62.0
2306,2306-02-14,145,T,87.8,4.2,4.2,104.5,Asia,CN,Hedong,CN,3,25.64,114.98,23.2..25.6,107.3..115.0
2538,2538-03-02,158,T,62.2,4.2,8.5,87.8,Africa,KM MZ,Bimbini,KM,2,-12.17,44.23,-13.1..-11.5,39.6..48.4
2220,2220-04-04,152,T,35.0,4.2,4.2,142.1,Oceania,AU,Castlemaine,AU,15,-37.17,144.10,-37.2..-36.9,136.9..144.1
2683,2683-11-10,173,T,34.0,4.2,4.2,102.3,North America,US,Villisca,US,11,41.49,-92.82,40.1..41.5,-97.7..-92.8
2328,2328-06-09,152,T,60.4,4.2,4.2,156.5,Oceania,AU,Taroom,AU,39,-25.92,150.02,-25.9..-23.5,144.6..150.0
2859,2859-05-23,161,T,87.4,4.2,4.2,65.6,Africa,ML MR SN,Kanel,SN,11,14.66,-10.61,14.7..17.1,-17.6..-10.6
2541,2541-06-25,155,T,79.8,4.3,4.3,107.4,Asia,PH,Tuba,PH,7,14.45,124.74,14.4..17.5,118.0..124.7
2292,2292-05-17,152,T,51.4,4.3,4.3,164.8,Africa,NA,Karasburg,NA,53,-27.60,18.49,-27.6..-25.3,12.1..18.5
2179,2179-11-28,145,T,85.1,4.3,4.3,66.1,South America,BR,Mocajuba,BR,17,-0.75,-45.35,-3.5..-0.8,-52.1..-45.4
2726,2726-07-21,167,T,61.0,4.3,4.3,205.4,Asia,IN,Pali,IN,6,22.94,79.94,22.9..25.8,73.3..79.9
2426,2426-09-02,161,T,51.9,4.3,4.3,199.9,Asia,CN VN,Tam Duong,VN,7,21.93,105.88,21.9..23.5,98.3..105.9
2624,2624-01-12,151,T,67.0,4.3,10.3,100.4,Africa,KM,Bimbini,KM,50,-11.82,43.97,-12.9..-9.4,41.9..49.2
2317,2317-07-09,151,T,71.9,4.3,6.9,92.5,North America,AG AI VG,Island Harbour,AI,40,17.83,-61.52,16.8..19.7,-65.7..-59.2
2719,2719-12-03,173,T,38.2,4.4,4.4,97.9,Europe,ES FR,Le Lavandou,FR,73,42.48,6.31,40.9..42.5,2.7..6.3
2653,2653-06-17,157,T,87.8,4.4,4.4,123.4,Africa,DJ ET SO,Dikhil,DJ,12,10.08,44.67,10.1..13.0,38.0..44.7
2783,2783-12-16,164,T,86.2,4.4,10.6,79.6,Oceania,AU,Kununurra,AU,88,-15.30,128.09,-15.8..-12.9,126.9..133.7
2241,2241-08-08,149,T,72.8,4.4,7.0,117.4,Oceania,FM,Pisaras,FM,34,7.24,153.57,6.5..9.1,148.3..155.9
2327,2327-06-20,142,T,75.1,4.4,7.1,210.2,Africa/Asia,SO YE,Burum,YE,65,11.86,52.79,10.8..13.9,48.6..55.2
2356,2356-11-23,148,T,82.5,4.4,10.6,91.2,Oceania,AU,Weipa,AU,28,-12.87,141.83,-13.3..-10.9,140.6..147.5
2211,2211-03-15,133,T,60.3,4.4,11.3,94.1,South America,EC,Puerto Baquerizo Moreno,EC,79,-1.62,-89.76,-2.0..-0.8,-91.7..-83.4
