year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2229,2229-03-26,133,T,58.2,5.0,98.9,-3.12,143.95,-2.65,151.83,-3.1..-2.6,144.0..151.8
2820,2820-01-07,164,Tm,87.0,5.0,59.5,-6.29,-136.11,-3.50,-129.87,-6.3..-3.5,-136.1..-129.9
2034,2034-03-20,130,T,73.1,5.0,115.9,34.38,79.99,34.69,86.60,34.4..34.7,80.0..86.6
2606,2606-12-21,161,T,73.3,5.0,93.6,15.77,-75.99,18.24,-70.88,15.8..18.2,-76.0..-70.9
2381,2381-07-22,142,T,61.4,5.0,207.0,14.95,74.31,11.78,81.10,11.8..15.0,74.3..81.1
2750,2750-03-30,151,T,61.0,5.0,163.1,-0.24,-151.93,0.03,-143.78,-0.2..0.0,-151.9..-143.8
2461,2461-10-04,151,T,77.6,5.0,123.4,-30.30,102.62,-30.03,108.95,-30.3..-30.0,102.6..108.9
2207,2207-11-20,136,T,52.8,5.0,130.6,13.61,-47.86,15.69,-41.21,13.6..15.7,-47.9..-41.2
2642,2642-01-22,151,T,66.7,5.1,104.6,-9.07,-91.48,-5.95,-84.58,-9.1..-5.9,-91.5..-84.6
2122,2122-07-04,148,T,55.5,5.1,64.4,-36.53,-162.06,-38.44,-158.33,-38.4..-36.5,-162.1..-158.3
2946,2946-03-24,164,T,88.5,5.1,35.3,19.09,39.16,19.22,46.23,19.1..19.2,39.2..46.2
2389,2389-08-22,151,T,89.2,5.1,127.9,-10.89,-157.24,-12.66,-150.59,-12.7..-10.9,-157.2..-150.6
2411,2411-12-16,158,T,59.1,5.1,92.9,-39.84,-105.61,-37.99,-101.51,-39.8..-38.0,-105.6..-101.5
2258,2258-08-29,139,T,58.8,5.1,205.5,-44.23,-94.15,-45.31,-89.10,-45.3..-44.2,-94.1..-89.1
2591,2591-04-14,148,T,71.2,5.1,167.4,35.78,-94.61,34.88,-88.08,34.9..35.8,-94.6..-88.1
2645,2645-05-17,148,T,61.8,5.1,183.0,37.42,-83.16,35.33,-77.35,35.3..37.4,-83.2..-77.4
2458,2458-06-11,154,T,73.2,5.1,97.1,-12.45,-43.33,-15.26,-37.30,-15.3..-12.4,-43.3..-37.3
2834,2834-09-24,167,T,85.3,5.1,182.1,-12.70,92.62,-13.02,100.71,-13.0..-12.7,92.6..100.7
2425,2425-09-12,151,Tm,83.6,5.1,131.5,-22.61,-26.04,-23.48,-18.80,-23.5..-22.6,-26.0..-18.8
2153,2153-10-17,136,T,58.2,5.1,166.8,3.16,-25.91,3.83,-18.01,3.2..3.8,-25.9..-18.0
2410,2410-12-26,148,T,80.8,5.1,92.3,0.31,107.40,3.07,113.55,0.3..3.1,107.4..113.5
2555,2555-03-24,148,T,75.4,5.1,150.0,32.25,148.06,32.39,154.52,32.3..32.4,148.1..154.5
2335,2335-07-21,151,T,76.5,5.2,104.8,11.56,-178.29,8.99,-172.21,9.0..11.6,-178.3..-172.2
2599,2599-05-15,157,T,76.1,5.2,68.2,35.14,19.67,33.26,25.67,33.3..35.1,19.7..25.7
2559,2559-07-06,155,Tm,84.1,5.2,101.3,9.39,5.65,6.67,11.72,6.7..9.4,5.7..11.7
2700,2700-06-09,158,Tm,85.8,5.2,92.7,-0.07,40.19,-2.81,46.20,-2.8..-0.1,40.2..46.2
2476,2476-06-22,154,T,77.6,5.2,108.5,-12.87,-151.64,-15.27,-146.72,-15.3..-12.9,-151.6..-146.7
2902,2902-07-26,160,T,64.6,5.2,171.1,10.65,136.41,7.63,143.11,7.6..10.6,136.4..143.1
2053,2053-09-12,145,T,71.6,5.2,73.2,2.23,88.25,1.28,95.55,1.3..2.2,88.3..95.5
2885,2885-07-03,170,T,67.0,5.2,227.4,-27.21,-23.32,-29.10,-19.45,-29.1..-27.2,-23.3..-19.5
2096,2096-05-22,139,T,83.0,5.3,195.6,26.44,-141.83,24.45,-136.17,24.5..26.4,-141.8..-136.2
2939,2939-08-06,170,T,80.2,5.3,213.1,-27.01,1.89,-29.21,7.63,-29.2..-27.0,1.9..7.6
2870,2870-10-16,167,T,89.1,5.3,149.3,-18.31,-143.43,-17.45,-136.46,-18.3..-17.5,-143.4..-136.5
2711,2711-11-02,164,T,81.6,5.3,131.5,-34.19,-83.66,-32.86,-77.32,-34.2..-32.9,-83.7..-77.3
2302,2302-10-22,148,T,86.7,5.3,97.8,-24.81,156.99,-23.89,164.21,-24.8..-23.9,157.0..164.2
2953,2953-05-04,163,T,81.8,5.3,104.1,16.89,21.49,15.28,28.09,15.3..16.9,21.5..28.1
2758,2758-04-29,160,T,84.2,5.3,71.9,9.76,-51.31,7.99,-43.84,8.0..9.8,-51.3..-43.8
2913,2913-06-25,161,T,75.3,5.3,52.5,-5.61,5.33,-8.22,11.14,-8.2..-5.6,5.3..11.1
