year,date,saros,type,ge_sun_alt,corridor_min_sun_alt,corridor_max_totality_s,entry_lat,entry_lon,end_lat,end_lon,lat_range,lon_range
2306,2306-02-14,145,T,87.8,4.2,104.5,23.16,107.26,25.64,114.98,23.2..25.6,107.3..115.0
2538,2538-03-02,158,T,62.2,4.2,87.8,-13.12,39.64,-11.45,48.40,-13.1..-11.5,39.6..48.4
2147,2147-03-02,142,T,76.2,4.2,111.8,0.88,156.77,2.41,164.95,0.9..2.4,156.8..165.0
2858,2858-06-03,151,T,39.0,4.2,227.2,-31.00,-158.37,-33.28,-152.62,-33.3..-31.0,-158.4..-152.6
2777,2777-04-29,170,T,40.0,4.2,197.0,-33.14,-44.49,-34.61,-38.18,-34.6..-33.1,-44.5..-38.2
2220,2220-04-04,152,T,35.0,4.2,142.1,-36.92,136.92,-37.17,144.10,-37.2..-36.9,136.9..144.1
2683,2683-11-10,173,T,34.0,4.2,102.3,40.05,-97.69,41.49,-92.82,40.1..41.5,-97.7..-92.8
2328,2328-06-09,152,T,60.4,4.2,156.5,-23.45,144.64,-25.92,150.02,-25.9..-23.5,144.6..150.0
2859,2859-05-23,161,T,87.4,4.2,65.6,17.14,-17.57,14.66,-10.61,14.7..17.1,-17.6..-10.6
2541,2541-06-25,155,T,79.8,4.3,107.4,17.47,118.04,14.45,124.74,14.4..17.5,118.0..124.7
2292,2292-05-17,152,T,51.4,4.3,164.8,-25.32,12.10,-27.60,18.49,-27.6..-25.3,12.1..18.5
2780,2780-08-22,167,T,74.3,4.3,207.6,3.59,83.03,1.50,91.04,1.5..3.6,83.0..91.0
2179,2179-11-28,145,T,85.1,4.3,66.1,-3.47,-52.06,-0.75,-45.35,-3.5..-0.8,-52.1..-45.4
2726,2726-07-21,167,T,61.0,4.3,205.4,25.75,73.27,22.94,79.94,22.9..25.8,73.3..79.9
2426,2426-09-02,161,T,51.9,4.3,199.9,23.46,98.31,21.93,105.88,21.9..23.5,98.3..105.9
2454,2454-08-24,152,T,88.8,4.3,67.0,-22.06,99.86,-24.10,107.28,-24.1..-22.1,99.9..107.3
2696,2696-02-25,151,T,65.1,4.3,127.9,-0.62,-128.09,1.67,-119.53,-0.6..1.7,-128.1..-119.5
2624,2624-01-12,151,T,67.0,4.3,100.4,-12.90,41.86,-9.38,49.16,-12.9..-9.4,41.9..49.2
2317,2317-07-09,151,T,71.9,4.3,92.5,19.72,-65.71,16.80,-59.17,16.8..19.7,-65.7..-59.2
2719,2719-12-03,173,T,38.2,4.4,97.9,40.88,2.69,42.48,6.31,40.9..42.5,2.7..6.3
2975,2975-08-28,170,Tm,88.4,4.4,196.2,-25.58,138.93,-27.54,146.83,-27.5..-25.6,138.9..146.8
2490,2490-09-14,152,T,81.4,4.4,27.6,-19.03,-121.23,-20.16,-112.74,-20.2..-19.0,-121.2..-112.7
2653,2653-06-17,157,T,87.8,4.4,123.4,13.01,38.02,10.08,44.67,10.1..13.0,38.0..44.7
2783,2783-12-16,164,T,86.2,4.4,79.6,-15.82,126.88,-12.88,133.67,-15.8..-12.9,126.9..133.7
2095,2095-06-02,129,T,50.1,4.4,94.0,-20.61,76.98,-22.92,82.81,-22.9..-20.6,77.0..82.8
2971,2971-05-15,163,T,78.7,4.4,125.8,11.45,-96.30,9.00,-88.39,9.0..11.5,-96.3..-88.4
2241,2241-08-08,149,T,72.8,4.4,117.4,9.10,148.34,6.46,155.93,6.5..9.1,148.3..155.9
2327,2327-06-20,142,T,75.1,4.4,210.2,13.89,48.62,10.75,55.15,10.8..13.9,48.6..55.2
2657,2657-09-29,164,T,74.4,4.4,169.8,-44.63,-83.25,-44.69,-77.08,-44.7..-44.6,-83.2..-77.1
2356,2356-11-23,148,T,82.5,4.4,91.2,-13.28,140.60,-10.91,147.48,-13.3..-10.9,140.6..147.5
2396,2396-04-09,145,T,85.1,4.4,168.0,23.97,-158.57,23.41,-150.69,23.4..24.0,-158.6..-150.7
2382,2382-07-12,152,T,74.1,4.4,128.3,-23.17,173.64,-25.84,179.23,-25.8..-23.2,173.6..179.2
2211,2211-03-15,133,T,60.3,4.4,94.1,-1.97,-91.69,-0.83,-83.38,-2.0..-0.8,-91.7..-83.4
2520,2520-02-20,158,T,61.4,4.5,83.3,-16.15,171.39,-14.17,178.94,-16.1..-14.2,171.4..178.9
2364,2364-06-30,152,T,69.6,4.5,140.0,-23.01,-77.34,-25.69,-71.89,-25.7..-23.0,-77.3..-71.9
2345,2345-06-30,142,T,70.7,4.5,209.4,13.76,-62.78,10.63,-56.40,10.6..13.8,-62.8..-56.4
