rank,calendar_date,eclipse_count,cumulative_duration,cumulative_secs,avg_duration,avg_secs
264,Oct 13,8,22m14.50s,1334.5,2m46.81s,166.8
265,Jul 19,4,22m08.10s,1328.1,5m32.03s,332.0
266,Mar 10,6,22m07.40s,1327.4,3m41.23s,221.2
267,Aug 14,6,22m04.90s,1324.9,3m40.82s,220.8
268,Jun 26,5,21m47.70s,1307.7,4m21.54s,261.5
269,Mar 31,8,21m28.00s,1288.0,2m41.00s,161.0
270,Feb 11,6,21m27.40s,1287.4,3m34.57s,214.6
271,Feb 5,7,21m22.30s,1282.3,3m03.19s,183.2
272,Feb 16,6,21m14.50s,1274.5,3m32.42s,212.4
273,Sep 30,7,21m13.90s,1273.9,3m01.99s,182.0
274,Jan 9,8,21m13.20s,1273.2,2m39.15s,159.2
275,Oct 9,6,20m57.10s,1257.1,3m29.52s,209.5
276,Mar 13,6,20m51.60s,1251.6,3m28.60s,208.6
277,Nov 10,7,20m38.10s,1238.1,2m56.87s,176.9
278,Feb 1,7,20m24.60s,1224.6,2m54.94s,174.9
279,May 24,5,20m24.30s,1224.3,4m04.86s,244.9
280,Oct 18,8,20m16.00s,1216.0,2m32.00s,152.0
281,Nov 30,8,20m08.40s,1208.4,2m31.05s,151.1
282,Feb 27,6,19m56.90s,1196.9,3m19.48s,199.5
283,Jan 31,6,19m47.30s,1187.3,3m17.88s,197.9
284,Oct 19,6,19m43.30s,1183.3,3m17.22s,197.2
285,Dec 23,6,19m41.30s,1181.3,3m16.88s,196.9
286,Nov 8,8,19m38.10s,1178.1,2m27.26s,147.3
287,Jan 13,6,19m31.10s,1171.1,3m15.18s,195.2
288,Oct 20,6,19m30.60s,1170.6,3m15.10s,195.1
289,Dec 13,7,19m28.30s,1168.3,2m46.90s,166.9
290,Feb 6,6,19m15.10s,1155.1,3m12.52s,192.5
291,Sep 22,7,19m12.70s,1152.7,2m44.67s,164.7
292,Nov 6,6,19m10.00s,1150.0,3m11.67s,191.7
293,Dec 8,6,18m53.40s,1133.4,3m08.90s,188.9
294,Nov 28,6,18m31.40s,1111.4,3m05.23s,185.2
295,Feb 20,8,18m31.30s,1111.3,2m18.91s,138.9
296,Aug 17,4,18m25.40s,1105.4,4m36.35s,276.4
297,Dec 24,7,18m13.80s,1093.8,2m36.26s,156.3
298,Sep 23,5,18m09.60s,1089.6,3m37.92s,217.9
299,Apr 4,5,17m49.20s,1069.2,3m33.84s,213.8
300,Nov 14,7,17m42.60s,1062.6,2m31.80s,151.8
301,Nov 21,6,17m37.70s,1057.7,2m56.28s,176.3
302,Sep 18,6,17m31.00s,1051.0,2m55.17s,175.2
303,Nov 4,6,17m27.80s,1047.8,2m54.63s,174.6
304,Dec 29,7,17m12.30s,1032.3,2m27.47s,147.5
305,Sep 11,5,17m01.70s,1021.7,3m24.34s,204.3
306,Jan 15,5,16m42.30s,1002.3,3m20.46s,200.5
307,Jan 11,6,16m42.20s,1002.2,2m47.03s,167.0
308,Nov 26,6,16m41.40s,1001.4,2m46.90s,166.9
309,Jul 2,4,16m32.30s,992.3,4m08.07s,248.1
310,Feb 23,5,16m22.00s,982.0,3m16.40s,196.4
311,Dec 1,6,15m49.50s,949.5,2m38.25s,158.2
312,Dec 11,6,15m47.10s,947.1,2m37.85s,157.8
313,Nov 11,5,15m44.00s,944.0,3m08.80s,188.8
314,Nov 19,7,15m34.20s,934.2,2m13.46s,133.5
315,Jan 4,5,15m14.20s,914.2,3m02.84s,182.8
316,Dec 2,6,15m13.40s,913.4,2m32.23s,152.2
317,Dec 20,5,14m45.50s,885.5,2m57.10s,177.1
318,Nov 27,5,14m45.20s,885.2,2m57.04s,177.0
319,Nov 12,5,14m45.10s,885.1,2m57.02s,177.0
320,Jan 23,6,14m44.90s,884.9,2m27.48s,147.5
321,Oct 28,5,14m44.30s,884.3,2m56.86s,176.9
322,Sep 5,4,14m30.10s,870.1,3m37.52s,217.5
323,Jan 10,5,14m17.40s,857.4,2m51.48s,171.5
324,Feb 2,5,14m13.30s,853.3,2m50.66s,170.7
325,Oct 14,4,14m03.60s,843.6,3m30.90s,210.9
326,Dec 19,4,13m45.80s,825.8,3m26.45s,206.4
327,Nov 18,5,13m33.80s,813.8,2m42.76s,162.8
328,Dec 6,6,13m28.90s,808.9,2m14.82s,134.8
329,Dec 3,4,13m18.60s,798.6,3m19.65s,199.7
330,Dec 7,5,13m07.70s,787.7,2m37.54s,157.5
331,Nov 9,5,12m58.90s,778.9,2m35.78s,155.8
332,Oct 21,4,12m57.90s,777.9,3m14.47s,194.5
333,Jul 30,3,12m52.60s,772.6,4m17.53s,257.5
334,Jan 5,4,12m50.20s,770.2,3m12.55s,192.5
335,Jan 1,5,12m46.60s,766.6,2m33.32s,153.3
336,Nov 15,5,12m44.30s,764.3,2m32.86s,152.9
337,Nov 25,5,12m33.00s,753.0,2m30.60s,150.6
338,Feb 13,4,12m26.40s,746.4,3m06.60s,186.6
339,Nov 1,4,12m19.40s,739.4,3m04.85s,184.9
340,Dec 28,5,12m04.60s,724.6,2m24.92s,144.9
341,Feb 7,4,11m59.20s,719.2,2m59.80s,179.8
342,Oct 24,4,11m53.60s,713.6,2m58.40s,178.4
343,Jan 16,5,11m52.50s,712.5,2m22.50s,142.5
344,Oct 6,4,11m38.50s,698.5,2m54.62s,174.6
345,Oct 10,4,11m17.50s,677.5,2m49.38s,169.4
346,Sep 1,3,11m08.10s,668.1,3m42.70s,222.7
347,Nov 16,4,10m47.40s,647.4,2m41.85s,161.8
348,Dec 17,5,10m46.00s,646.0,2m09.20s,129.2
349,Feb 29,2,10m14.20s,614.2,5m07.10s,307.1
350,Nov 5,4,10m06.50s,606.5,2m31.63s,151.6
351,Jan 19,4,9m51.10s,591.1,2m27.77s,147.8
352,May 2,3,9m50.40s,590.4,3m16.80s,196.8
353,Jan 26,3,9m18.00s,558.0,3m06.00s,186.0
354,Mar 17,3,9m17.00s,557.0,3m05.67s,185.7
355,Mar 7,4,9m07.70s,547.7,2m16.93s,136.9
356,Oct 25,4,9m06.10s,546.1,2m16.52s,136.5
357,Feb 17,3,8m51.00s,531.0,2m57.00s,177.0
358,Aug 21,3,8m39.10s,519.1,2m53.03s,173.0
359,Oct 31,2,8m09.20s,489.2,4m04.60s,244.6
360,Oct 3,3,8m00.50s,480.5,2m40.17s,160.2
361,Dec 10,3,7m52.40s,472.4,2m37.47s,157.5
362,Jan 29,4,7m25.00s,445.0,1m51.25s,111.2
363,Dec 14,3,7m11.70s,431.7,2m23.90s,143.9
364,Jan 7,2,6m39.30s,399.3,3m19.65s,199.6
365,Nov 22,2,4m55.40s,295.4,2m27.70s,147.7
366,Dec 25,2,4m44.90s,284.9,2m22.45s,142.4
