rank,month_day,count
306,Feb 11,6
307,Jun 26,6
308,Apr 17,6
309,Jun 10,6
310,Feb 6,6
311,Sep 17,6
312,Oct 20,6
313,Feb 16,6
314,Nov 27,5
315,Apr 4,5
316,Feb 2,5
317,Jan 4,5
318,Sep 11,5
319,Jan 15,5
320,Dec 20,5
321,Nov 1,5
322,Nov 25,5
323,Dec 17,5
324,Sep 23,5
325,Dec 28,5
326,Jan 10,5
327,Oct 28,5
328,Nov 12,5
329,Jan 16,5
330,Nov 18,5
331,Nov 11,5
332,Jan 1,5
333,Jan 29,4
334,Jul 2,4
335,Oct 25,4
336,Feb 17,4
337,Nov 16,4
338,Nov 5,4
339,May 2,4
340,Sep 5,4
341,Dec 19,4
342,Feb 13,4
343,Feb 7,4
344,Oct 14,4
345,Jan 19,4
346,Oct 10,4
347,Jan 5,4
348,Jul 19,4
349,Dec 3,4
350,Oct 24,4
351,Oct 6,4
352,Aug 17,4
353,Oct 21,4
354,Aug 21,4
355,Mar 17,3
356,Dec 14,3
357,Jan 26,3
358,Oct 3,3
359,Sep 1,3
360,Jan 7,3
361,Jul 30,3
362,Dec 10,3
363,Feb 29,2
364,Dec 25,2
365,Oct 31,2
366,Nov 22,2
